,locus_ID,20190709-RC1-AM-BOTTOMTPM,20190709-RC7-AM-BOTTOMTPM,20190716-RC1-AM-BOTTOMTPM,20190716-RC1-AM-TOPTPM,20190716-RC2-AM-BOTTOMTPM,20190716-RC7-AM-BOTTOMTPM,20190716-RC9-AM-BOTTOMTPM,20190723-RC1-AM-BOTTOMTPM,20190723-RC2-AM-BOTTOMTPM,20190723-RC7-AM-BOTTOMTPM,20190723-RC9-AM-BOTTOMTPM,20190730-RC1-AM-BOTTOMTPM,20190730-RC2-AM-BOTTOM-BUOYTPM,20190730-RC7-AM-BOTTOMTPM,20190730-RC9-AM-BOTTOMTPM
0,NODE_18_length_97374_cov_13.626116,139.152048,226.984134,208.38565,464.501471,196.44184,176.621962,138.838129,447.774299,392.259235,392.820473,323.857561,175.623118,195.921131,239.993001,223.844739
1,NODE_20_length_91638_cov_13.681491,139.408175,230.545788,206.553016,447.503616,196.44805,189.432524,166.439846,441.589405,385.975523,429.045879,329.654102,170.84975,158.434309,252.783698,227.29408
2,NODE_35_length_73883_cov_13.132849,146.305572,219.464312,221.781973,421.054539,170.439558,170.352367,128.961209,477.082022,375.576758,423.796415,313.941385,146.321715,183.203533,235.244187,209.399913
3,NODE_42_length_66618_cov_13.668014,152.434636,223.870891,237.816988,507.13892,205.329809,161.860165,151.059743,478.930085,388.668025,395.142695,333.408811,154.647634,194.092906,243.561446,243.433483
4,NODE_49_length_62214_cov_15.038755,164.212406,229.27161,257.615726,538.272927,231.509332,193.837998,193.920095,516.285783,410.85882,397.311848,342.261981,136.877895,205.419253,262.842141,283.659441
5,NODE_51_length_61903_cov_12.622057,131.649348,211.743156,213.308858,396.992855,172.136153,170.784146,146.44172,426.389112,362.365478,368.667964,308.897393,145.821338,176.960333,224.70828,202.975418
6,NODE_54_length_60222_cov_13.466701,143.862189,223.578524,202.641682,475.841857,196.446627,164.093662,152.753369,510.216462,378.07521,399.032142,317.345496,161.215622,168.015873,216.559586,250.387321
7,NODE_69_length_50977_cov_14.207788,150.097232,247.952871,235.915416,472.461211,220.651943,187.680177,142.59841,512.57937,376.640044,412.383714,338.242266,147.085485,222.462935,253.51658,201.776091
8,NODE_71_length_50603_cov_12.500455,127.583426,204.641081,176.447302,409.249408,163.367769,148.105772,146.29133,468.055322,351.435272,386.456628,329.279355,151.54356,171.468161,202.188551,232.633599
9,NODE_103_length_41221_cov_13.510713,148.023961,242.030388,225.585986,503.976787,186.422037,167.738255,155.423561,449.47983,350.264896,418.193938,297.586096,115.83654,194.980279,248.381471,217.807739
