UniqueCount	AmbigCount
1090782	854
871	0
816	1
832	11
789	0
588	1
1692	0
648	133
795	3
1545	1
625	11
729	0
497	0
593	0
641	0
1232	13
589	0
435	0
516	0
497	1
1089	0
1056	2
1018	0
380	8
462	1
469	9
408	0
345	0
608	19
276	0
803	1
341	0
388	1
823	6
750	0
740	0
255	119
699	1
200	8
321	1
311	2
647	4
314	2
821	9
669	0
208	0
212	0
264	0
22	0
244	0
226	0
214	0
583	32
284	0
262	0
665	0
2	0
678	1
198	0
512	1
637	157
225	0
244	0
4	1
256	0
569	6
557	0
212	0
216	0
137	0
0	0
2	0
182	2
572	0
543	0
557	1
384	1
509	2
464	0
528	1
589	2
480	20
544	1
37	0
10	0
8	1
250	0
522	6
0	1
495	5
443	6
372	0
411	10
274	0
0	5
0	15
465	0
475	0
494	0
470	1
2	3
175	0
477	2
0	0
350	0
10	0
23	0
0	0
183	0
412	0
1	1
430	0
281	0
0	2
136	0
422	0
435	7
426	0
395	1
15	2
154	119
0	1
6	12
158	0
3	0
403	52
361	2
4	0
327	14
397	0
325	46
0	0
1	0
0	0
379	0
157	0
358	13
403	1
30	0
397	4
5	0
331	0
0	0
364	0
341	11
10	2
0	1
0	0
379	0
0	1
374	2
345	0
1	2
88	0
338	0
5	1
0	0
137	0
459	29
325	0
371	0
3	0
219	0
393	4
272	0
360	30
0	0
122	6
313	0
0	0
2	0
0	163
329	0
219	5
88	6
363	1
26	0
325	0
125	0
340	43
362	1
2	0
57	1
72	0
3	4
1	146
326	3
334	0
16	0
14	1
306	0
328	0
2	0
0	0
109	0
73	3
4	0
317	0
4	0
213	0
8	5
105	0
0	1
311	0
0	0
1	1
128	0
70	2
304	43
2	0
133	0
135	0
16	0
158	0
149	0
5	0
327	0
230	87
0	3
160	0
166	20
90	0
265	1
0	0
286	0
78	9
286	42
17	163
296	0
282	2
146	0
406	38
1	246
89	0
274	4
44	246
0	0
0	48
241	0
211	42
0	0
0	3
16	1
273	0
253	10
2	0
270	0
0	0
2	0
256	2
54	0
0	125
242	11
253	2
259	2
0	2
229	1
300	0
0	0
270	14
0	0
13	246
5	0
0	0
253	2
10	32
5	2
272	0
269	1
0	0
0	125
0	0
117	0
288	0
68	0
167	0
2	0
0	41
264	0
245	64
0	0
3	4
264	0
215	19
0	7
82	0
1	1
242	0
254	0
0	0
244	0
2	1
1	0
1	0
1	0
247	0
29	0
217	20
232	0
1	0
280	3
6	5
0	0
104	0
253	12
0	0
12	0
243	0
220	11
271	0
3	1
43	2
198	0
8	0
192	1
0	0
229	0
219	0
2	0
8	0
0	2
22	2
211	4
200	5
0	0
213	1
205	10
1	7
79	0
3	2
0	0
0	0
0	0
233	0
46	0
231	0
16	0
10	0
0	0
0	0
87	0
0	0
201	0
206	12
0	0
199	14
0	0
0	87
233	0
214	15
121	0
217	0
7	0
218	0
196	0
0	2
0	0
0	0
199	1
0	0
0	0
221	2
219	0
3	0
210	1
4	0
2	0
211	1
214	0
0	0
208	0
0	1
166	11
12	20
27	0
5	0
224	0
188	1
197	0
0	0
208	2
0	0
0	0
182	0
2	0
5	0
188	0
189	0
0	0
0	1
0	0
183	1
178	0
52	55
1	0
5	0
0	0
0	0
161	9
3	0
0	0
0	3
6	1
167	26
192	0
194	0
169	1
62	0
180	0
0	0
160	2
179	0
64	101
188	0
214	0
1	2
191	18
165	0
206	2
