,strain,contig
0,Bacillus_subtilis_complete_genome.fasta,>BS.pilon.polished.v3.ST170922
1,Cryptococcus_neoformans_draft_genome.fasta,">34076 221832 3052178 9196+,...,11517-"
2,Cryptococcus_neoformans_draft_genome.fasta,">35312 218868 3012463 30929-,...,24871-"
3,Cryptococcus_neoformans_draft_genome.fasta,">34941 209342 2848350 28146-,...,1303+"
4,Cryptococcus_neoformans_draft_genome.fasta,">34323 189043 2576127 14877-,...,29942-"
5,Cryptococcus_neoformans_draft_genome.fasta,">34677 186330 2378226 22354+,...,20807-"
6,Cryptococcus_neoformans_draft_genome.fasta,">34713 180261 2329897 23221+,...,24705+"
7,Cryptococcus_neoformans_draft_genome.fasta,">34177 177293 2411531 11274+,...,31022-"
8,Cryptococcus_neoformans_draft_genome.fasta,">35132 175604 2410940 29942+,...,27900-"
9,Cryptococcus_neoformans_draft_genome.fasta,">33960 172784 2218128 6804+,...,23325-"
10,Cryptococcus_neoformans_draft_genome.fasta,">35781 170764 2224968 3484+,...,5170+"
11,Cryptococcus_neoformans_draft_genome.fasta,">35630 154591 2003214 32446-,...,12760+"
12,Cryptococcus_neoformans_draft_genome.fasta,">34322 151605 2827405 14877-,...,17620-"
13,Cryptococcus_neoformans_draft_genome.fasta,">33666 148107 1897201 570+,...,19995+"
14,Cryptococcus_neoformans_draft_genome.fasta,">34457 140956 1915672 17670+,...,3488+"
15,Cryptococcus_neoformans_draft_genome.fasta,">34549 137324 1796746 19659-,...,18330+"
16,Cryptococcus_neoformans_draft_genome.fasta,">34952 132456 1887256 28378+,...,9081+"
17,Cryptococcus_neoformans_draft_genome.fasta,">34529 129477 1658288 19134+,...,23677-"
18,Cryptococcus_neoformans_draft_genome.fasta,">35739 122590 1660957 32938+,...,12537+"
19,Cryptococcus_neoformans_draft_genome.fasta,">34418 121824 1550792 16799+,...,17005-"
20,Cryptococcus_neoformans_draft_genome.fasta,">34532 115682 1471480 19191+,...,26026-"
