index	bin	contig
0	bin.1.fa	>NODE_24_length_85284_cov_24.890061
1	bin.1.fa	>NODE_33_length_75157_cov_23.717890
2	bin.1.fa	>NODE_39_length_69082_cov_31.202283
3	bin.1.fa	>NODE_40_length_68740_cov_29.501347
4	bin.1.fa	>NODE_57_length_56219_cov_24.669610
5	bin.1.fa	>NODE_58_length_55858_cov_27.148827
6	bin.1.fa	>NODE_63_length_53057_cov_26.250443
7	bin.1.fa	>NODE_76_length_49406_cov_27.449190
8	bin.1.fa	>NODE_78_length_48992_cov_24.247032
9	bin.1.fa	>NODE_82_length_47720_cov_24.606860
10	bin.1.fa	>NODE_94_length_43274_cov_25.965316
11	bin.1.fa	>NODE_96_length_43019_cov_30.608649
12	bin.1.fa	>NODE_99_length_42348_cov_24.883338
13	bin.1.fa	>NODE_114_length_38311_cov_25.295222
14	bin.1.fa	>NODE_121_length_37799_cov_30.189116
15	bin.1.fa	>NODE_143_length_34655_cov_24.479740
16	bin.1.fa	>NODE_144_length_34522_cov_24.453651
17	bin.1.fa	>NODE_159_length_31670_cov_25.283758
18	bin.1.fa	>NODE_175_length_30048_cov_30.550262
19	bin.1.fa	>NODE_211_length_26312_cov_25.256846
20	bin.1.fa	>NODE_215_length_25995_cov_26.387510
21	bin.1.fa	>NODE_227_length_25334_cov_27.968432
22	bin.1.fa	>NODE_254_length_22939_cov_25.636078
23	bin.1.fa	>NODE_262_length_22619_cov_24.354769
24	bin.1.fa	>NODE_277_length_21957_cov_24.986622
25	bin.1.fa	>NODE_304_length_20851_cov_22.603818
26	bin.1.fa	>NODE_318_length_20407_cov_22.082351
27	bin.1.fa	>NODE_382_length_17696_cov_28.773709
28	bin.1.fa	>NODE_401_length_17199_cov_26.381591
29	bin.1.fa	>NODE_406_length_17118_cov_25.609272
30	bin.1.fa	>NODE_413_length_17023_cov_26.240688
31	bin.1.fa	>NODE_439_length_16279_cov_24.621425
32	bin.1.fa	>NODE_442_length_16137_cov_28.571322
33	bin.1.fa	>NODE_445_length_16081_cov_24.061775
34	bin.1.fa	>NODE_447_length_16068_cov_22.582090
35	bin.1.fa	>NODE_451_length_15970_cov_27.616902
36	bin.1.fa	>NODE_492_length_15061_cov_27.604292
37	bin.1.fa	>NODE_518_length_14306_cov_26.193530
38	bin.1.fa	>NODE_565_length_13607_cov_24.713326
39	bin.1.fa	>NODE_583_length_13338_cov_24.967251
40	bin.1.fa	>NODE_587_length_13236_cov_25.203702
41	bin.1.fa	>NODE_611_length_12914_cov_30.894082
42	bin.1.fa	>NODE_624_length_12742_cov_23.992906
43	bin.1.fa	>NODE_634_length_12616_cov_20.987023
44	bin.1.fa	>NODE_671_length_12073_cov_21.781245
45	bin.1.fa	>NODE_689_length_11891_cov_24.788020
46	bin.1.fa	>NODE_765_length_11105_cov_28.757466
47	bin.1.fa	>NODE_859_length_10307_cov_28.833593
48	bin.1.fa	>NODE_864_length_10279_cov_30.861698
49	bin.1.fa	>NODE_890_length_10011_cov_27.525512
50	bin.1.fa	>NODE_952_length_9509_cov_22.979797
51	bin.1.fa	>NODE_960_length_9451_cov_28.625266
52	bin.1.fa	>NODE_973_length_9351_cov_23.699548
53	bin.1.fa	>NODE_1125_length_8506_cov_24.638386
54	bin.1.fa	>NODE_1150_length_8366_cov_25.148598
55	bin.1.fa	>NODE_1196_length_8136_cov_23.258136
56	bin.1.fa	>NODE_1231_length_7966_cov_25.122488
57	bin.1.fa	>NODE_1288_length_7742_cov_25.627293
58	bin.1.fa	>NODE_1338_length_7525_cov_29.060776
59	bin.1.fa	>NODE_1366_length_7445_cov_19.212043
60	bin.1.fa	>NODE_1618_length_6651_cov_28.503184
